tweet_id,retweet_count,favorite_count
821107785811234820,2184,9771
821044531881721856,2328,12901
820837357901512704,6884,0
820749716845686786,10123,32181
820690176645140481,3305,12457
820494788566847489,574,0
820446719150292993,2625,0
820314633777061888,574,3410
820078625395449857,6433,20216
820013781606658049,1207,0
819952236453363712,1207,5427
819924195358416896,4971,13156
819711362133872643,3181,13691
819588359383371776,2032,9830
819347104292290561,1232,7380
819238181065359361,414,2324
819227688460238848,6884,23574
819015337530290176,37712,0
819015331746349057,19387,0
819006400881917954,19387,46232
819004803107983360,37712,88765
818646164899774465,21499,0
818627210458333184,7711,22876
818614493328580609,2632,10054
818588835076603904,6298,0
818536468981415936,2521,11144
818307523543449600,8296,0
818259473185828864,2333,11268
818145370475810820,2633,12566
817908911860748288,824,4960
817827839487737858,27724,52902
817777686764523521,2757,10972
817536400337801217,3048,12029
817502432452313088,3478,0
817423860136083457,15132,34679
817415592588222464,974,5728
817181837579653120,8677,0
817171292965273600,2073,8965
817120970343411712,2667,12487
817056546584727552,1686,8788
816829038950027264,4829,0
816816676327063552,2086,10242
816697700272001025,2251,10018
816450570814898180,8296,31222
816336735214911488,1998,8808
816091915477250048,2196,9134
816062466425819140,1052,0
816014286006976512,5408,0
815990720817401858,1052,5074
815966073409433600,8677,22934
815745968457060357,4245,0
815736392542261248,2330,10081
815639385530101762,1687,8423
815390420867969024,3903,10614
814986499976527872,1314,7836
814638523311648768,2774,11538
814578408554463233,5986,0
814530161257443328,1912,8865
814153002265309185,8918,29505
813944609378369540,3263,0
813910438903693312,1921,9523
813812741911748608,14349,37316
813800681631023104,1811,8532
813217897535406080,7499,19104
813202720496779264,1855,9458
813187593374461952,4486,20389
813172488309972993,1979,9511
813157409116065792,2273,7967
813142292504645637,2443,8687
813130366689148928,459,4590
813127251579564032,3221,12150
813112105746448384,2818,10570
813096984823349248,3711,10819
813081950185472002,2846,10126
813066809284972545,2004,8160
813051746834595840,7568,21500
812781120811126785,1960,7769
812709060537683968,1471,6785
812503143955202048,1255,6225
812466873996607488,1989,8174
812372279581671427,3769,14021
811985624773361665,1444,7445
811744202451197953,1638,7738
811647686436880384,763,5755
811627233043480576,3168,13110
811386762094317568,6563,21479
810984652412424192,1472,5477
810896069567610880,1814,9260
810657578271330305,2729,11265
810284430598270976,11648,36221
810254108431155201,3466,15092
809920764300447744,4050,15925
809808892968534016,5042,0
809448704142938112,1504,7121
809220051211603969,5770,20463
809084759137812480,3624,13600
808838249661788160,3127,10376
808733504066486276,2231,8131
808501579447930884,2683,11615
808344865868283904,21499,43758
808134635716833280,6109,0
808106460588765185,2272,9025
808001312164028416,3636,12887
807621403335917568,3743,14984
